string,int,int,string
season_2_stream,1573581601,2147968800,all
season_2_bonus_stream,1548784800,2147968800,all
digital_refresh_v3,1569862800,2147968800,all
reserves_drop_12,1573581600,2147968800,all
sunset_features,1573581600,2147364000,all
bribe_offer_launch,1573581600,1576000800,all
bribe_offer_holidays_2019,1576000800,2147364000,all
reserve_completion_meter,1573581600,2147364000,all
global_2xtier_mp_server,1594915200,2147364000,all
global_2xtier_mp_client,1594918800,2147364000,all
global_2xtier_wz_server,1594915200,2147364000,all
global_2xtier_wz_client,1594918800,2147364000,all
global_2wxp_mp_server,1545156000,2147364000,all
global_2wxp_mp_client,1545156000,2147364000,all
global_2wxp_zm_server,1545156000,2147364000,all
global_2wxp_zm_client,1545156000,2147364000,all
global_2xnp_zm_server,1545156000,2147364000,all
global_2xnp_zm_client,1545156000,2147364000,all
global_2xp_mp_server,1545156000,2147364000,all
global_2xp_mp_client,1545156000,2147364000,all
zm_lab_titanium_treble_slot_1,1545156000,2147364000,all
zm_lab_tungsten_tripler_slot_2,1545156000,2147364000,all

